Sentence	Translation	Speaker	Rating	Ambiguity	Voice	Topicalized	Order	Actor_Type	Actor_Case	Undergoer_Type	Undergoer_Case	Beneficiary_Type	Beneficiary_Case	Location_Type	Location_Case	Poss_Type	Poss_Case	Theme_Type	Theme_Case	Rating_str
idu na alrak sahar katu/kanatu taina. 	This child loves his mother. 	2	1	A-U	AF	actor	AVU	common_def	NOM	common_def	OBL									Elicited
nadu na taina sahar kanatu (na) lralrak. 	Those mothers love their children. 	2	1	A-U	AF	actor	AVU	common_def	NOM	common_def	OBL									Elicited
i mulri adi sahar kanidu na suwan. 	The grandfather does not like that dog. 	2	1	A-U	AF	actor	AVU	prsn_sg	NOM	common_def	OBL									Elicited
i Umang tu takisaw i Pusang.	Umang killed Pusang.	2	1	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Elicited
tu takisaw i Pusang i Umang. 	Pusang killed Umang.	2	3	A-U	PF	none	VAU	prsn_sg	NOM	prsn_sg	NOM									Rejected
venalis i Pusang tu takisaw i Umang. 	Pusang killed Umang for revenge. 	2	1	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Elicited
i Umang mu, tu takisaw i Lutan di Pusang. 	Umang killed Lutan and Pusang. 	2	1	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Elicited
i Umang mu, tu takisaw kani Lutan di Pusang. 	Umang killed Lutan and Pusang. 	2	2	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	OBL									Accepted
tu takisaw i Lutan di Pusang i Umang. 	Umang killed Lutan and Pusang. 	2	3	A-U	PF	none	VUA	prsn_sg	NOM	prsn_sg	NOM									Rejected
tu takisaw i Umang kani Lutan di Pusang. 	Umang killed Lutan and Pusang. 	2	2	A-U	PF	none	VAU	prsn_sg	NOM	prsn_sg	OBL									Accepted
kitakis i Pusang kani Umang. 	Pusang was killed by Umang. 	2	2	A-U	PASS	none	VUA	prsn_sg	OBL	prsn_sg	NOM									Accepted
i Umang mu, tu takisaw idu na suwan.	Umang killed that dog. 	2	1	none	PF	actor	AVU	prsn_sg	NOM	common_def	NOM									Elicited
tu takisaw idu na suwan i Umang.	Umang killed that dog. 	2	2	none	PF	none	VUA	prsn_sg	NOM	common_def	NOM									Accepted
tu takisaw i Umang idu na suwan.	Umang killed that dog. 	2	2	none	PF	none	VAU	prsn_sg	NOM	common_def	NOM									Accepted
idu na suwan tu takisaw i Umang.	Umang killed that dog. 	2	1	none	PF	undergoer	UVA	prsn_sg	NOM	common_def	NOM									Elicited
tu pinacayaw i Umang kanidu na suwan di ngiyaw. 	Umang killed (by beating) that dog and that cat. 	2	1	none	PF	none	VAU	prsn_sg	NOM	common_def	NOM									Elicited
tu karacaw idu na suwan i Umang palru kana minacay. 	The dog bit Umang to death. 	2	1	none	PF	none	VAU	common_def	NOM	prsn_sg	NOM									Elicited
tu karacaw idu na suwan kani Umang palru kana minacay. 	The dog bit Umang to death. 	2	2	none	PF	none	VAU	common_def	NOM	prsn_sg	OBL									Accepted
nadu na suwan (mu,) tu pinacayaw i Umang.	Those dogs were beaten to death by Umang.  	2	1	none	PF	undergoer	UVA	prsn_sg	NOM	common_def	NOM									Elicited
tu pinacayaw nadu na suwan i Umang.	Those dogs were beaten to death by Umang. 	2	1	none	PF	none	VUA	prsn_sg	NOM	common_def	NOM									Elicited
i Umang mu, tu pinacayaw nadu na suwan.	Those dogs were beaten to death by Umang. 	2	2	none	PF	actor	AVU	prsn_sg	NOM	common_def	NOM									Accepted
cemakaw a paisu i Umang. 	Umang stole money. 	2	1	none	PF	none	VUA	prsn_sg	NOM	common_indf	NOM									Elicited
i Umang mu, cemakaw a paisu. 	Umang stole money. 	2	1	none	PF	actor	AVU	prsn_sg	NOM	common_indf	NOM									Elicited
tu cakawaw tu paisu i Umang. 	They stole Umang's money. 	2	1	none	PF-UPOSS	none	VPdP			possessed						prsn_sg	NOM			Elicited
idu na suwan mu, tu kedengaw idu na dukap.	"The dog stole the slippers. (lit. ""The dog pulled the slippers away."")"	2	1	none	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
tu kedengaw idu na dukap idu na suwan. 	"The dog stole the slippers. (lit. ""The dog pulled the slippers away."")"	2	2	none	PF	none	VUA	common_def	NOM	common_def	NOM									Accepted
tu kedengaw idu na suwan idu na dukap. 	"The dog stole the slippers. (lit. ""The dog pulled the slippers away."")"	2	3	none	PF	none	VAU	common_def	NOM	common_def	NOM									Rejected
na unan tu karacaw na suwan. 	The snake bit the dog. 	3	1	A-U	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
nina unan tu karacaw na suwan. 	The snake bit the dog. 	3	3	A-U	PF	actor	AVU	common_def	GEN	common_def	NOM									Rejected
tu karacaw [idu na]/na suwan na unan. 	The snake bit the dog. 	3	3	A-U	PF	none	VUA	common_def	NOM	common_def	NOM									Rejected
tu karacaw [idu na]/na suwan nina unan. 	The snake bit the dog. 	3	3	A-U	PF	none	VUA	common_def	GEN	common_def	NOM									Rejected
na suwan tu karacaw na unan. 	The dog bit the snake.	3	1	A-U	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
kana suwan tu karacaw na unan. 	The dog bit the snake.	3	3	A-U	PF	actor	AVU	common_def	OBL	common_def	NOM									Rejected
ini na suwan kikarac kana unan. 	The dog was bitten by the snake.	3	1	A-U	PASS	undergoer	UVA	common_def	OBL	common_def	NOM									Elicited
ini na suwan kikarac da unan. 	The dog was bitten by the snake.	3	2	A-U	PASS	undergoer	UVA	common_indf	OBL	common_def	NOM									Accepted
ini na suwan kikarac na unan. 	The dog was bitten by the snake.	3	3	A-U	PASS	undergoer	UVA	common_def	NOM	common_def	NOM									Rejected
i taina (mu,) kikarac kana unan. 	The mother was bitten by the snake. 	3	1	none	PASS	undergoer	UVA	common_def	OBL	prsn_sg	NOM									Elicited
i taina (mu,) kikarac da unan. 	The mother was bitten by the snake.	3	1	none	PASS	undergoer	UVA	common_indf	OBL	prsn_sg	NOM									Elicited
kikarac i taina kana unan. 	The mother was bitten by the snake.	3	2	none	PASS	none	VUA	common_def	OBL	prsn_sg	NOM									Accepted
kikarac i taina da unan. 	The mother was bitten by the snake.	3	2	none	PASS	none	VUA	common_indf	OBL	prsn_sg	NOM									Accepted
kikarac kana unan i taina. 	The mother was bitten by the snake.	3	3	none	PASS	none	VAU	common_def	OBL	prsn_sg	NOM									Rejected
kikarac da unan i taina. 	The mother was bitten by the snake.	3	3	none	PASS	none	VAU	common_indf	OBL	prsn_sg	NOM									Rejected
i taina tu veranay na kavang kanani na lralrak.  	The mother gave the clothes to the children. 	3	1	A-B	LF	actor	AVUB	prsn_sg	NOM	common_def	NOM	common_def	OBL							Elicited
ni taina tu veranay na kavang kanani na lralrak.  	The mother gave the clothes to the children. 	3	3	A-B	LF	actor	AVUB	prsn_sg	GEN	common_def	NOM	common_def	OBL							Rejected
tu veranay na kavang kanani na lralrak i taina. 	The mother gave the clothes to the children. 	3	2	A-B	LF	none	VUBA	prsn_sg	NOM	common_def	NOM	common_def	OBL							Accepted
tu veranay i taina na kavang kanani na lralrak.  	The mother gave the clothes to the children. 	3	2	A-B	LF	none	VAUB	prsn_sg	NOM	common_def	NOM	common_def	OBL							Accepted
tu veranay na kavang i taina kanani na lralrak.  	The mother gave the clothes to the children. 	3	3	A-B	LF	none	VUAB	prsn_sg	NOM	common_def	NOM	common_def	OBL							Rejected
na lralrak tu veranay kani taina na kavang.   	The children give the clothes to the mother. 	3	1	A-B	LF	actor	AVBU	common_def	NOM	common_def	NOM	prsn_sg	OBL							Elicited
na lralrak tu veranay na kavang kani taina. 	The children give the clothes to the mother. 	3	2	A-B	LF	actor	AVUB	common_def	NOM	common_def	NOM	prsn_sg	OBL							Accepted
kana lralrak tu veranay na kavang kani taina. 	The children give the clothes to the mother. 	3	3	A-B	LF	actor	AVUB	common_def	OBL	common_def	NOM	prsn_sg	OBL							Rejected
na lralrak tu veranay na kavang i taina. 	The children give the clothes to the mother. 	3	1	A-B	LF	actor	AVUB	common_def	NOM	common_def	NOM	prsn_sg	NOM							Elicited
i Pusang (mu,) kitenged kana sinsi. 	Pusang was beaten by the teacher. 	3	1	A-U	PASS	undergoer	UVA	common_def	OBL	prsn_sg	NOM									Elicited
kitenged i Pusang kana sinsi. 	Pusang was beaten by the teacher. 	3	1	A-U	PASS	none	VUA	common_def	OBL	prsn_sg	NOM									Elicited
i Pusang tu tengeday na sinsi. 	Pusang beat the teacher. 	3	2	A-U	LF	actor	AVU	prsn_sg	NOM	common_def	NOM									Accepted
tu tengeday i Pusang na sinsi.	Pusang beat the teacher. 	3	3	A-U	LF	none	VAU	prsn_sg	NOM	common_def	NOM									Rejected
temenged i Pusang kani Umang. 	Pusang beat Umang. 	3	1	A-U	AF	none	VAU	prsn_sg	NOM	prsn_sg	OBL									Elicited
i Pusang temenged kani Umang. 	Pusang beat Umang. 	3	1	A-U	AF	actor	AVU	prsn_sg	NOM	prsn_sg	OBL									Elicited
kitenged i Umang kani Pusang. 	Umang was beaten by Pusang. 	3	2	A-U	PASS	none	VUA	prsn_sg	OBL	prsn_sg	NOM									Accepted
tu tengeday i Pusang i Umang. 	Umang was beaten by Pusang. 	3	3	A-U	LF	none	VAU	prsn_sg	NOM	prsn_sg	NOM									Rejected
tu tengeday i Umang ni Pusang.	Umang was beaten by Pusang. 	3	3	A-U	LF	none	VUA	prsn_sg	GEN	prsn_sg	NOM									Rejected
tu tengeday i Umang kani Pusang.	Umang was beaten by Pusang. 	3	3	A-U	LF	undergoer	VUA	prsn_sg	OBL	prsn_sg	NOM									Rejected
i Umang kitenged kani Pusang. 	Pusang beat Umang. 	3	1	A-U	PASS	undergoer	AVU	prsn_sg	OBL	prsn_sg	NOM									Elicited
i Pusang tu tengeday i Umang. 	Pusang beat Umang. 	3	2	A-U	LF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Accepted
kitenged i Pusang kani Umang. 	Pusang was beaten by Umang. 	3	2	A-U	PASS	none	VUA	prsn_sg	OBL	prsn_sg	NOM									Accepted
i Pusang maranger patakesi kani Umang (mukuwa) i kungkuwan. 	Pusang makes Umang go to school to study. 	3	1	A-U	AF	actor	AVVUL	prsn_sg	NOM	prsn_sg	OBL			loc	LOC					Elicited
i Pusang tu adayaw i Umang mukuwa kani Lutan. 	Pusang takes Umang to Lutan. 	3	1	A-U-L	PF	actor	AVUVL	prsn_sg	NOM	prsn_sg	NOM			prsn_sg	OBL					Elicited
tu adayaw i Pusang i Umang mukuwa kani Lutan.	Pusang takes Umang to Lutan. 	3	3	A-U-L	PF	none	VAUVL	prsn_sg	NOM	prsn_sg	NOM			prsn_sg	OBL					Rejected
tu adayaw i Umang mukuwa kani Lutan i Pusang. 	Pusang takes Umang to Lutan. 	3	3	A-U-L	PF	none	VUVLA	prsn_sg	NOM	prsn_sg	NOM			prsn_sg	OBL					Rejected
i Pusang (mu,) panadam kani Umang pakakawang/unting kana paliding. 	Pusang teaches Umang how to drive a car. 	3	1	A-U	AF	actor	AVUX	prsn_sg	NOM	prsn_sg	OBL									Elicited
na unan tu karacaw na suwan. 	The snake bit the dog. 	5	1	A-U	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
tu karacaw na unan na suwan. 	The snake bit the dog. 	5	1	A-U	PF	none	VAU	common_def	NOM	common_def	NOM									Elicited
tu karacaw na unan kana suwan. 	The dog bit the snake.	5	1	A-U	PF	none	VUA	common_def	OBL	common_def	NOM									Elicited
tu karacaw na unan nina suwan.	The dog bit the snake.	5	3	A-U	PF	none	VUA	common_def	GEN	common_def	NOM									Rejected
tu karacaw idu na unan na suwan. 	The dog bit the snake.	5	2	A-U	PF	none	VUA	common_def	NOM	common_def	NOM									Accepted
tu karacaw na unan idu na suwan. 	The dog bit the snake.	5	1	A-U	PF	none	VUA	common_def	NOM	common_def	NOM									Elicited
kikarac kana unan i nani. 	The mother was bitten by the snake. 	5	1	none	PASS	none	VAU	common_def	OBL	prsn_sg	NOM									Elicited
i Pusang minada kani Umang uwa/mukuwa kani Lutan.  	Pusang takes Umang to Lutan. 	5	1	A-U-L	AF	actor	AVUVL	prsn_sg	NOM	prsn_sg	OBL			prsn_sg	OBL					Elicited
i Umang cemima' kantu/kanantu valray ni Pusang. 	Umang bought Pusang's book. 	5	1	A-P	AF-UPOSS	actor	AVPdP	prsn_sg	NOM	possessed	OBL					prsn_sg	GEN			Elicited
i Umang cemima' kantu/kanantu valray kani Pusang. 	Umang bought Pusang's book. 	5	1	A-P	AF-UPOSS	actor	AVPdP	prsn_sg	NOM	possessed	OBL					prsn_sg	OBL			Elicited
i Umang cemima' tu valray ni Pusang. 	Umang bought Pusang's book. 	5	2	A-P	AF-UPOSS	actor	AVPdP	prsn_sg	NOM	possessed						prsn_sg	GEN			Accepted
i Umang cemima' tu valray kani Pusang. 	Umang bought Pusang's book. 	5	2	A-P	AF-UPOSS	actor	AVPdP	prsn_sg	NOM	possessed						prsn_sg	OBL			Accepted
i Umang cemima' tu valray i Pusang. 	Umang bought Pusang's book. 	5	3	A-P	AF-UPOSS	actor	AVPdP	prsn_sg	NOM	possessed						prsn_sg	NOM			Rejected
tu kaselruaw i Pusang kani Umang. 	Pusang scolds Umang.	5	1	A-U	PF	none	VAU	prsn_sg	NOM	prsn_sg	OBL									Elicited
tu kaselruaw ni Pusang kani Umang. 	Pusang scolds Umang.	5	3	A-U	PF	none	VAU	prsn_sg	GEN	prsn_sg	OBL									Rejected
tu kaselruaw i Pusang ni Umang. 	Pusang scolds Umang.	5	3	A-U	PF	none	VAU	prsn_sg	NOM	prsn_sg	GEN									Rejected
i Pusang tu kaselruaw kani Umang. 	Pusang scolds Umang.	5	1	A-U	PF	actor	AVU	prsn_sg	NOM	prsn_sg	OBL									Elicited
tu kaselruaw kani Umang i Pusang.	Pusang scolds Umang.	5	2	A-U	PF	none	VUA	prsn_sg	NOM	prsn_sg	OBL									Accepted
i ina (mu,) tu kaselruaw na alrak. 	The mother scolds the child. 	5	1	A-U	PF	actor	AVU	prsn_sg	NOM	common_def	NOM									Elicited
vulay tu talupung ni Simuy. 	Simuy's hat is pretty. 	5	1	none	n/a-POSS	none	PrPdP									prsn_sg	GEN			Elicited
vulay tu talupung i Simuy. 	Simuy's hat is pretty. 	5	2	none	n/a-POSS	none	PrPdP									prsn_sg	NOM			Accepted
vulay tu talupung kani Simuy. 	Simuy's hat is pretty. 	5	2	none	n/a-POSS	none	PrPdP									prsn_sg	OBL			Accepted
tu paliding na Simuy maidang. 	Simuy et al.'s car is big. 	5	1	none	n/a-POSS	possessor-possessed	PdPPr									prsn_pl	NOM			Elicited
tu paliding kana Simuy maidang. 	Simuy et al.'s car is big. 	5	2	none	n/a-POSS	possessor-possessed	PdPPr									prsn_pl	OBL			Accepted
tu sa'ad na kawi tatelraw. 	The branches of the tree are long. 	5	1	none	n/a-POSS	possessor-possessed	PdPPr									common_def	NOM			Elicited
tatelraw tu sa'ad na kawi. 	The branches of the tree are long. 	5	1	none	n/a-POSS	none	PrPdP									common_def	NOM			Elicited
tatelraw tu sa'ad kana kawi. 	The branches of the tree are long. 	5	2	none	n/a-POSS	none	PrPdP									common_def	OBL			Accepted
tatelraw tu sa'ad a kawi. 	The branches of the tree are long. 	5	2	none	n/a-POSS	none	PrPdP									common_indf	NOM			Accepted
tatelraw tu sa'ad da kawi. 	The branches of the tree are long. 	5	2	none	n/a-POSS	none	PrPdP									common_indf	OBL			Accepted
tatelraw tu sa'ad nina kawi. 	The branches of the tree are long. 	5	3	none	n/a-POSS	none	PrPdP									common_def	GEN			Rejected
i Pusang tu verayay na liwu kani Lutan. 	Pusang gives the gift to Lutan. 	5	1	A-B	LF	actor	AVUB	prsn_sg	NOM	common_def	NOM	prsn_sg	OBL							Elicited
ni Pusang tu verayay na liwu kani Lutan. 	Pusang gives the gift to Lutan. 	5	3	A-B	LF	actor	AVUB	prsn_sg	GEN	common_def	NOM	prsn_sg	OBL							Rejected
tu verayay na liwu kani Lutan ni Pusang. 	Pusang gives the gift to Lutan. 	5	1	A-B	LF	none	VUBA	prsn_sg	GEN	common_def	NOM	prsn_sg	OBL							Elicited
tu verayay na liwu kani Lutan i Pusang. 	Pusang gives the gift to Lutan. 	5	2	A-B	LF	none	VUBA	prsn_sg	NOM	common_def	NOM	prsn_sg	OBL							Accepted
tu paliding ni Umang (mu,) tu verayanay kani Lutan i Pusang. 	Pusang gifts Umang's car to Lutan. 	5	1	A-B-P	CF-UPOSS	undergoer	PdPVBA	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	GEN			Elicited
tu paliding i Umang (mu,) tu verayanay kani Lutan i Pusang. 	Pusang gifts Umang's car to Lutan. 	5	2	A-B-P	CF-UPOSS	undergoer	PdPVBA	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	NOM			Accepted
tu paliding kani Umang (mu,) tu verayanay kani Lutan i Pusang. 	Pusang gifts Umang's car to Lutan. 	5	2	A-B-P	CF-UPOSS	undergoer	PdPVBA	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	OBL			Accepted
tu paliding i Umang tu verayanay i Pusang kani Lutan	Pusang gifts Umang's car to Lutan. 	5	3	A-B-P	CF-UPOSS	undergoer	PdPVAB	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	NOM			Rejected
tu paliding kani Umang tu verayanay i Pusang kani Lutan	Pusang gifts Umang's car to Lutan. 	5	3	A-B-P	CF-UPOSS	undergoer	PdPVAB	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	OBL			Rejected
tu paliding ni Umang tu verayanay i Pusang kani Lutan	Pusang gifts Umang's car to Lutan. 	5	3	A-B-P	CF-UPOSS	undergoer	PdPVAB	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	GEN			Rejected
i Pusang mu, tu verayanay tu paliding ni Umang kani Lutan. 	Pusang gifts Umang's car to Lutan. 	5	1	A-B-P	CF-UPOSS	actor	AVPdPB	prsn_sg	NOM	possessed		prsn_sg	OBL			prsn_sg	GEN			Elicited
tu paliding kani Umang tu verayanay kani Lutan ni Pusang. 	Pusang gifts Umang's car to Lutan. 	5	2	A-B-P	CF-UPOSS	undergoer	PdPVBA	prsn_sg	GEN	possessed		prsn_sg	OBL			prsn_sg	OBL			Accepted
tu paliding ni Umang tu verayanay kani Lutan ni Pusang. 	Pusang gifts Umang's car to Lutan. 	5	2	A-B-P	CF-UPOSS	undergoer	PdPVBA	prsn_sg	GEN	possessed		prsn_sg	OBL			prsn_sg	GEN			Accepted
tu paliding ni Umang (mu,) tu verayanay ni Lutan i Pusang. 	Pusang gifts Umang's car to Lutan. 	5	3	A-B-P	CF-UPOSS	undergoer	PdPVBA	prsn_sg	NOM	possessed		prsn_sg	GEN			prsn_sg	GEN			Rejected
i Pusang tu tengeday i Umang. 	Pusang beat Umang. 	5	2	A-U	LF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Accepted
tu tengeday i Umang ni Pusang. 	Pusang beat Umang. 	5	2	A-U	LF	none	VUA	prsn_sg	GEN	prsn_sg	NOM									Accepted
tu tengeday i Umang i Pusang. 	Pusang beat Umang. 	5	3	A-U	LF	none	VUA	prsn_sg	NOM	prsn_sg	NOM									Rejected
tu tengeday kani Umang i Pusang. 	Pusang beat Umang. 	5	2	A-U	LF	none	VUA	prsn_sg	NOM	prsn_sg	OBL									Accepted
i Pusang tu tengeday na Umang. 	Pusang beat Umang et al. 	5	1	A-U	LF	actor	AVU	prsn_sg	NOM	prsn_pl	NOM									Elicited
i Pusang tu tengeday kana Umang. 	Pusang beat Umang et al. 	5	3	A-U	LF	actor	AVU	prsn_sg	NOM	prsn_pl	OBL									Rejected
tu kaselruaw i Umang kani Pusang.	Pusang scolds Umang.	5	2	A-U	PF	none	VUA	prsn_sg	OBL	prsn_sg	NOM									Accepted
tu kaselruaw i Umang ni Pusang.	Pusang scolds Umang.	5	3	A-U	PF	none	VUA	prsn_sg	GEN	prsn_sg	NOM									Rejected
tu kaselruaw i Umang kani Pusang.	Umang scolds Pusang.	5	2	A-U	PF	none	VAU	prsn_sg	NOM	prsn_sg	OBL									Accepted
tu kaselruaw kani Pusang i Umang.	Umang scolds Pusang.	5	2	A-U	PF	none	VUA	prsn_sg	NOM	prsn_sg	OBL									Accepted
tu kaselruaw ni Pusang i Umang.	Umang scolds Pusang.	5	3	A-U	PF	none	VUA	prsn_sg	NOM	prsn_sg	GEN									Rejected
tu kaselruaw kani Pusang ni Umang.	Umang scolds Pusang.	5	2	A-U	PF	none	VUA	prsn_sg	GEN	prsn_sg	OBL									Accepted
nantu disuya na Lutan 	Lutan et al.'s car. 	5	1	none	n/a-POSS	none	PdP									prsn_pl	NOM			Elicited
nantu disuya kana Lutan 	Lutan et al.'s car. 	5	2	none	n/a-POSS	none	PdP									prsn_pl	OBL			Accepted
na unan kemalac da suwan. 	The snake bit the dog. 	4	1	A-U	AF	actor	AVU	common_def	NOM	common_indf	OBL									Elicited
na suwan kikarac kana unan. 	The dog was bitten by the snake. 	4	1	A-U	PASS	undergoer	UVA	common_def	OBL	common_def	NOM									Elicited
tu karacaw na unan ini na suwan. 	This dog bit the snake. 	4	1	A-U	PF	none	VAU	common_def	NOM	common_def	NOM									Elicited
kipuvari na vira'. 	The leaf is blown by the wind. 	4	1	none	PASS	none	VU			common_def	NOM									Elicited
tu karacaw na unan na suwan. 	The dog bit the snake. 	4	3	A-U	PF	none	VUA	common_def	NOM	common_def	NOM									Rejected
tu karacaw na suwan na unan. 	The dog bit the snake. 	4	3	A-U	PF	none	VAU	common_def	NOM	common_def	NOM									Rejected
tu suwan i Pusang 	Pusang's dog	4	1	none	n/a-POSS	none	PdP									prsn_sg	NOM			Elicited
tu suwan ni Pusang	Pusang's dog	4	2	none	n/a-POSS	none	PdP									prsn_sg	GEN			Accepted
tu suwan kani Pusang	Pusang's dog	4	2	none	n/a-POSS	none	PdP									prsn_sg	OBL			Accepted
tu suwan na Pusang	Pusang et al.'s dog	4	1	none	n/a-POSS	none	PdP									prsn_pl	NOM			Elicited
tu suwan kana Pusang	Pusang et al.'s dog	4	2	none	n/a-POSS	none	PdP									prsn_pl	OBL			Accepted
i Pusang tu tengeday i Umang. 	Pusang beat Umang. 	4	2	A-U	LF	actor	AVU	prsn_sg	NOM	prsn_sg	NOM									Accepted
tu kaselruaw i Pusang kani Umang. 	Umang scolds Pusang.	4	2	A-U	PF	none	VUA	prsn_sg	OBL	prsn_sg	NOM									Accepted
na sinsi tu paliding 	The teacher's car 	4	1	none	n/a-POSS	none	PPd									common_def	NOM			Elicited
tu paliding na sinsi	The teacher's car 	4	2	none	n/a-POSS	none	PdP									common_def	NOM			Accepted
tu paliding kana sinsi	The teacher's car 	4	2	none	n/a-POSS	none	PdP									common_def	OBL			Accepted
tu paliding da sinsi	The teacher's car 	4	2	none	n/a-POSS	none	PdP									common_indf	OBL			Accepted
na unan tu karacaw na suwan.	The snake bites the dog.	3	1	A-U	PF	actor	AVU	common_def	NOM	common_def	NOM									Elicited
tu karacaw na unan ini na suwan.	The snake bites the dog.	3	1	A-U	PF	none	VAU	common_def	NOM	common_def	NOM									Elicited
ini na suwan kikarac kana unan.	This dog was bitten by the snake.	3	1	A-U	PASS	undergoer	UVA	common_indf	OBL	common_def	NOM									Elicited
i Pusang mu, maselru kani Umang.	Pusang scolds Umang.	3	1	A-U	AF	actor	AVU	prsn_sg	NOM	prsn_sg	OBL									Elicited
tu kaselruaw i Pusang kani Umang.	Pusang scolds Umang.	3	2	A-U	PF	none	VAU	prsn_sg	NOM	prsn_sg	OBL									Accepted
i Pusang tu adayaw i Umang mukuwa kani Lutan.	Pusang takes Umang to Lutan.	3	1	A-U-L	PF	actor	AVUVL	prsn_sg	NOM	prsn_sg	NOM			prsn_sg	OBL					Elicited
i Lutan (mu), tu veranay na kavang kana lralrak.	Lutan gives the clothes to the children	3	1	A-B	LF	actor	AVUB	prsn_sg	NOM	common_def	NOM	common_def	OBL							Elicited
tu veranay na kavang kana lralrak i Lutan.	Lutan gives the clothes to the children.	3	2	A-B	LF	none	VUBA	prsn_sg	NOM	common_def	NOM	common_def	OBL							Accepted
tu veranay na kavang kana lralrak ni Lutan.	Lutan gives the clothes to the children.	3	3	A-B	LF	none	VUBA	prsn_sg	GEN	common_def	NOM	common_def	OBL							Rejected
na Lutan (mu), tu veranay na kavang kana lralrak.	Lutan et al. give the clothes to the children.	3	1	A-B	LF	actor	AVUB	prsn_pl	NOM	common_def	NOM	common_def	OBL							Elicited
kana Lutan (mu), tu veranay na kavang kana lralrak.	Lutan et al. give the clothes to the children.	3	3	A-B	LF	actor	AVUB	prsn_pl	OBL	common_def	NOM	common_def	OBL							Rejected
nantu paliding i Lutan	Lutan’s car	3	1	none	n/a-POSS	none	PdP									prsn_sg	NOM			Elicited
nantu paliding ni Lutan	Lutan’s car	3	2	none	n/a-POSS	none	PdP									prsn_sg	GEN			Accepted
nantu paliding kani Lutan	Lutan’s car	3	2	none	n/a-POSS	none	PdP									prsn_sg	OBL			Accepted
nantu paliding na Lutan	Lutan et al.’s car	3	1	none	n/a-POSS	none	PdP									prsn_pl	NOM			Elicited
nantu paliding kana Lutan	Lutan et al.’s car	3	1	none	n/a-POSS	none	PdP									prsn_pl	OBL			Elicited
